region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
Africa,Libya,Snacks,Online,H,06-01-2015,927794390,10-01-2015,5626,152.58,97.44,858415.08,548197.44,310217.64
South America,Argentina,Beverages,Offline,L,29-11-2017,341864642,02-12-2017,2927,47.45,31.79,138886.15,93049.33,45836.82
Europe,Spain,Cosmetics,Offline,L,26-08-2011,501277572,29-08-2011,459,437.2,263.33,200674.8,120868.47,79806.33
Asia,China,Cereal,Online,M,06-02-2013,222590006,07-02-2013,8976,205.7,117.11,1846363.2,1051179.36,795183.84
Asia,China,Beverages,Offline,H,15-09-2015,498078853,25-09-2015,1500,47.45,31.79,71175,47685,23490
Africa,Nigeria,Clothes,Online,C,03-06-2010,567264259,12-06-2010,7844,109.28,35.84,857192.32,281128.96,576063.36
North America,United States,Fruits,Offline,H,14-01-2015,941221339,17-01-2015,3534,9.33,6.92,32972.22,24455.28,8516.94
Africa,Libya,Fruits,Online,C,22-10-2013,474753457,23-10-2013,112,9.33,6.92,1044.96,775.04,269.92
Europe,France,Office Supplies,Online,L,16-09-2014,418915171,24-09-2014,7975,651.21,524.96,5193399.75,4186556,1006843.75
Asia,Japan,Fruits,Offline,H,11-12-2017,465608563,20-12-2017,4833,9.33,6.92,45091.89,33444.36,11647.53
North America,Mexico,Snacks,Offline,H,09-08-2014,537084241,13-08-2014,7918,152.58,97.44,1208128.44,771529.92,436598.52
Africa,Libya,Clothes,Offline,M,14-03-2010,759124092,20-03-2010,3156,109.28,35.84,344887.68,113111.04,231776.64
Asia,India,Office Supplies,Online,C,17-08-2015,469459866,18-08-2015,3265,651.21,524.96,2126200.65,1713994.4,412206.25
Africa,Egypt,Fruits,Offline,H,15-04-2010,684889446,17-04-2010,3001,9.33,6.92,27999.33,20766.92,7232.41
South America,Brazil,Clothes,Offline,H,07-05-2017,462265072,14-05-2017,5236,109.28,35.84,572190.08,187658.24,384531.84
North America,United States,Baby Food,Online,C,31-03-2012,795265837,03-04-2012,2104,255.28,159.42,537109.12,335419.68,201689.44
Australia and Oceania,New Zealand,Fruits,Online,L,02-06-2012,973000126,06-06-2012,3691,9.33,6.92,34437.03,25541.72,8895.31
South America,Argentina,Vegetables,Online,C,21-04-2017,278336967,26-04-2017,1172,154.06,90.93,180558.32,106569.96,73988.36
Europe,Spain,Clothes,Offline,C,28-09-2015,879594110,01-10-2015,9631,109.28,35.84,1052475.68,345175.04,707300.64
North America,Mexico,Cosmetics,Offline,H,04-06-2012,327133004,14-06-2012,2679,437.2,263.33,1171258.8,705461.07,465797.73
Europe,Italy,Vegetables,Offline,C,25-01-2013,553085191,29-01-2013,3558,154.06,90.93,548145.48,323528.94,224616.54
South America,Argentina,Clothes,Online,C,10-05-2017,111944535,16-05-2017,7444,109.28,35.84,813480.32,266792.96,546687.36
Australia and Oceania,New Zealand,Cereal,Offline,H,29-01-2010,118856292,31-01-2010,9863,205.7,117.11,2028819.1,1155055.93,873763.17
South America,Argentina,Cereal,Offline,C,16-04-2015,694158104,21-04-2015,4160,205.7,117.11,855712,487177.6,368534.4
Europe,Germany,Baby Food,Offline,C,29-09-2017,790483983,03-10-2017,1954,255.28,159.42,498817.12,311506.68,187310.44
Africa,Nigeria,Beverages,Online,M,11-07-2014,126188714,19-07-2014,5436,47.45,31.79,257938.2,172810.44,85127.76
Africa,Libya,Beverages,Online,H,28-05-2015,859695705,05-06-2015,1826,47.45,31.79,86643.7,58048.54,28595.16
South America,Chile,Snacks,Online,L,12-04-2010,358721704,19-04-2010,7849,152.58,97.44,1197600.42,764806.56,432793.86
North America,United States,Household,Online,L,26-12-2013,536259585,27-12-2013,7571,668.27,502.54,5059472.17,3804730.34,1254741.83
Europe,Spain,Personal Care,Online,H,09-08-2012,325171049,17-08-2012,6422,81.73,56.67,524870.06,363934.74,160935.32
Asia,India,Office Supplies,Online,M,21-04-2011,151119963,26-04-2011,2863,651.21,524.96,1864414.23,1502960.48,361453.75
South America,Chile,Clothes,Online,M,25-06-2010,814569328,03-07-2010,9066,109.28,35.84,990732.48,324925.44,665807.04
Europe,France,Office Supplies,Offline,H,01-11-2013,479881228,09-11-2013,2058,651.21,524.96,1340190.18,1080367.68,259822.5
Australia and Oceania,New Zealand,Snacks,Offline,H,12-02-2011,542629177,16-02-2011,9221,152.58,97.44,1406940.18,898494.24,508445.94
Europe,Italy,Cosmetics,Online,H,19-03-2013,678032943,27-03-2013,2183,437.2,263.33,954407.6,574849.39,379558.21
Africa,Kenya,Clothes,Online,M,20-01-2011,380672524,30-01-2011,1793,109.28,35.84,195939.04,64261.12,131677.92
Europe,Spain,Baby Food,Offline,C,09-01-2010,847855023,15-01-2010,4408,255.28,159.42,1125274.24,702723.36,422550.88
Africa,Nigeria,Household,Offline,M,26-04-2010,762019685,06-05-2010,5251,668.27,502.54,3509085.77,2638837.54,870248.23
North America,Canada,Personal Care,Online,C,03-03-2012,543572181,09-03-2012,3223,81.73,56.67,263415.79,182647.41,80768.38
South America,Chile,Cosmetics,Offline,L,03-07-2010,533569612,13-07-2010,2374,437.2,263.33,1037912.8,625145.42,412767.38
Europe,Spain,Fruits,Offline,M,22-02-2012,880579970,26-02-2012,5593,9.33,6.92,52182.69,38703.56,13479.13
Australia and Oceania,New Zealand,Baby Food,Offline,H,15-03-2012,962282320,20-03-2012,7900,255.28,159.42,2016712,1259418,757294
Asia,Singapore,Beverages,Offline,H,16-05-2014,525698728,18-05-2014,9329,47.45,31.79,442661.05,296568.91,146092.14
Europe,Germany,Baby Food,Online,H,21-05-2016,724177448,24-05-2016,1017,255.28,159.42,259619.76,162130.14,97489.62
Asia,India,Snacks,Online,M,24-11-2012,802839139,03-12-2012,6556,152.58,97.44,1000314.48,638816.64,361497.84
South America,Argentina,Vegetables,Online,H,29-06-2010,531450839,03-07-2010,3623,154.06,90.93,558159.38,329439.39,228719.99
Asia,Japan,Cereal,Online,H,08-03-2017,841530959,14-03-2017,2244,205.7,117.11,461590.8,262794.84,198795.96
Africa,Egypt,Beverages,Online,L,03-06-2014,660314508,06-06-2014,1427,47.45,31.79,67711.15,45364.33,22346.82
Australia and Oceania,New Zealand,Cosmetics,Online,L,29-07-2010,221157453,02-08-2010,1023,437.2,263.33,447255.6,269386.59,177869.01
Europe,Spain,Baby Food,Online,C,25-05-2010,629987397,02-06-2010,4544,255.28,159.42,1159992.32,724404.48,435587.84
South America,Chile,Snacks,Offline,C,30-07-2012,944719608,03-08-2012,5311,152.58,97.44,810352.38,517503.84,292848.54
South America,Brazil,Office Supplies,Offline,M,26-08-2016,972533141,01-09-2016,5491,651.21,524.96,3575794.11,2882555.36,693238.75
Africa,Kenya,Fruits,Offline,M,12-02-2010,461236291,21-02-2010,5308,9.33,6.92,49523.64,36731.36,12792.28
South America,Argentina,Household,Offline,M,06-11-2017,935472773,09-11-2017,9954,668.27,502.54,6651959.58,5002283.16,1649676.42
Europe,Italy,Vegetables,Offline,H,05-09-2012,344087309,13-09-2012,1254,154.06,90.93,193191.24,114026.22,79165.02
Africa,Nigeria,Baby Food,Offline,H,24-01-2012,105913529,29-01-2012,4322,255.28,159.42,1103320.16,689013.24,414306.92
Europe,Spain,Office Supplies,Online,M,23-10-2016,898608979,28-10-2016,6969,651.21,524.96,4538282.49,3658446.24,879836.25
North America,United States,Snacks,Online,H,16-10-2011,312564017,26-10-2011,1245,152.58,97.44,189962.1,121312.8,68649.3
Europe,France,Household,Online,M,12-08-2011,851916969,13-08-2011,5322,668.27,502.54,3556532.94,2674517.88,882015.06
North America,United States,Office Supplies,Offline,M,05-04-2014,280201707,07-04-2014,3512,651.21,524.96,2287049.52,1843659.52,443390
Africa,Nigeria,Vegetables,Online,L,17-01-2017,844345675,18-01-2017,7878,154.06,90.93,1213684.68,716346.54,497338.14
South America,Brazil,Clothes,Online,C,09-06-2011,515004566,17-06-2011,8079,109.28,35.84,882873.12,289551.36,593321.76
North America,Canada,Personal Care,Offline,M,08-09-2011,916605645,11-09-2011,2626,81.73,56.67,214622.98,148815.42,65807.56
Europe,Spain,Personal Care,Offline,C,02-04-2014,311783445,08-04-2014,6352,81.73,56.67,519148.96,359967.84,159181.12
Australia and Oceania,Fiji,Cereal,Online,C,30-10-2013,306660738,31-10-2013,3160,205.7,117.11,650012,370067.6,279944.4
Asia,China,Cosmetics,Offline,L,08-09-2012,133022455,13-09-2012,975,437.2,263.33,426270,256746.75,169523.25
South America,Brazil,Fruits,Online,M,10-12-2012,931160164,11-12-2012,1205,9.33,6.92,11242.65,8338.6,2904.05
Australia and Oceania,Fiji,Household,Offline,C,23-03-2015,354699981,28-03-2015,8118,668.27,502.54,5425015.86,4079619.72,1345396.14
Africa,Kenya,Personal Care,Offline,H,06-09-2014,462839559,11-09-2014,8343,81.73,56.67,681873.39,472797.81,209075.58
Africa,Libya,Cosmetics,Online,H,18-08-2016,175705979,20-08-2016,9376,437.2,263.33,4099187.2,2468982.08,1630205.12
Australia and Oceania,New Zealand,Vegetables,Online,L,27-02-2017,383622787,07-03-2017,5576,154.06,90.93,859038.56,507025.68,352012.88
South America,Brazil,Fruits,Offline,C,25-09-2013,229498736,30-09-2013,6989,9.33,6.92,65207.37,48363.88,16843.49
Asia,China,Vegetables,Online,C,01-02-2013,406134488,11-02-2013,7042,154.06,90.93,1084890.52,640329.06,444561.46
Asia,Japan,Personal Care,Offline,C,04-11-2012,458292070,09-11-2012,9020,81.73,56.67,737204.6,511163.4,226041.2
North America,United States,Personal Care,Online,H,03-08-2013,571240603,05-08-2013,4171,81.73,56.67,340895.83,236370.57,104525.26
Australia and Oceania,Australia,Cosmetics,Offline,H,02-12-2015,107774815,08-12-2015,7680,437.2,263.33,3357696,2022374.4,1335321.6
Africa,Kenya,Personal Care,Offline,L,25-05-2011,773824187,28-05-2011,1892,81.73,56.67,154633.16,107219.64,47413.52
Africa,Nigeria,Office Supplies,Offline,H,28-12-2013,648146696,02-01-2014,3457,651.21,524.96,2251232.97,1814786.72,436446.25
Africa,Kenya,Fruits,Offline,M,23-08-2010,774788645,27-08-2010,4954,9.33,6.92,46220.82,34281.68,11939.14
Africa,Kenya,Office Supplies,Online,L,24-09-2014,228012103,01-10-2014,3930,651.21,524.96,2559255.3,2063092.8,496162.5
Europe,Italy,Baby Food,Online,H,04-05-2016,646364576,14-05-2016,3078,255.28,159.42,785751.84,490694.76,295057.08
Africa,Libya,Baby Food,Offline,C,12-08-2013,361717969,19-08-2013,394,255.28,159.42,100580.32,62811.48,37768.84
Asia,China,Cosmetics,Offline,L,07-10-2017,771964921,11-10-2017,3351,437.2,263.33,1465057.2,882418.83,582638.37
Asia,India,Clothes,Online,C,16-03-2015,340621777,26-03-2015,1230,109.28,35.84,134414.4,44083.2,90331.2
Africa,Kenya,Cereal,Online,C,26-01-2012,448233404,05-02-2012,1228,205.7,117.11,252599.6,143811.08,108788.52
North America,Canada,Household,Online,C,02-07-2011,502748164,11-07-2011,8217,668.27,502.54,5491174.59,4129371.18,1361803.41
Africa,Libya,Fruits,Online,L,10-09-2012,264670682,13-09-2012,6963,9.33,6.92,64964.79,48183.96,16780.83
Africa,Egypt,Baby Food,Offline,H,21-02-2011,493592655,27-02-2011,9206,255.28,159.42,2350107.68,1467620.52,882487.16
Australia and Oceania,New Zealand,Vegetables,Offline,L,26-02-2010,464132717,27-02-2010,7452,154.06,90.93,1148055.12,677610.36,470444.76
Australia and Oceania,Fiji,Cosmetics,Offline,H,23-08-2012,634533349,30-08-2012,5612,437.2,263.33,2453566.4,1477807.96,975758.44
Africa,Libya,Baby Food,Online,M,22-04-2012,230860506,26-04-2012,5214,255.28,159.42,1331029.92,831215.88,499814.04
North America,Mexico,Clothes,Offline,H,29-11-2014,737156584,30-11-2014,6250,109.28,35.84,683000,224000,459000
Australia and Oceania,New Zealand,Snacks,Online,H,27-09-2010,662653172,04-10-2010,9468,152.58,97.44,1444627.44,922561.92,522065.52
North America,Mexico,Beverages,Offline,H,08-11-2016,615822235,09-11-2016,2416,47.45,31.79,114639.2,76804.64,37834.56
Australia and Oceania,Australia,Clothes,Online,M,19-11-2012,679823395,26-11-2012,7157,109.28,35.84,782116.96,256506.88,525610.08
Australia and Oceania,Australia,Personal Care,Offline,H,10-11-2016,390552064,18-11-2016,8333,81.73,56.67,681056.09,472231.11,208824.98
North America,Canada,Beverages,Online,M,03-02-2016,769323370,04-02-2016,561,47.45,31.79,26619.45,17834.19,8785.26
South America,Argentina,Baby Food,Online,H,14-07-2017,924117421,21-07-2017,1347,255.28,159.42,343862.16,214738.74,129123.42
North America,Canada,Office Supplies,Offline,M,01-10-2017,946906474,06-10-2017,3739,651.21,524.96,2434874.19,1962825.44,472048.75
Europe,Spain,Personal Care,Online,H,27-08-2013,578625936,06-09-2013,8688,81.73,56.67,710070.24,492348.96,217721.28
Europe,France,Clothes,Offline,C,11-08-2011,506871663,16-08-2011,3744,109.28,35.84,409144.32,134184.96,274959.36
Africa,Nigeria,Baby Food,Offline,M,27-04-2015,950480279,30-04-2015,8225,255.28,159.42,2099678,1311229.5,788448.5
Asia,India,Cosmetics,Offline,C,10-03-2012,419803167,17-03-2012,6049,437.2,263.33,2644622.8,1592883.17,1051739.63
Africa,Nigeria,Personal Care,Online,M,09-04-2017,335993889,19-04-2017,8437,81.73,56.67,689556.01,478124.79,211431.22
North America,United States,Beverages,Online,M,10-05-2011,624464713,18-05-2011,5276,47.45,31.79,250346.2,167724.04,82622.16
Africa,Nigeria,Beverages,Online,L,23-12-2010,948824621,24-12-2010,2186,47.45,31.79,103725.7,69492.94,34232.76
North America,Mexico,Beverages,Offline,M,24-03-2011,241276115,28-03-2011,3961,47.45,31.79,187949.45,125920.19,62029.26
Asia,Japan,Fruits,Offline,M,20-08-2012,425764694,26-08-2012,5270,9.33,6.92,49169.1,36468.4,12700.7
Asia,China,Snacks,Online,L,15-11-2010,856857921,23-11-2010,840,152.58,97.44,128167.2,81849.6,46317.6
Europe,Germany,Vegetables,Online,M,19-09-2011,855699207,21-09-2011,2863,154.06,90.93,441073.78,260332.59,180741.19
Australia and Oceania,Australia,Baby Food,Offline,C,06-08-2015,655345772,08-08-2015,3638,255.28,159.42,928708.64,579969.96,348738.68
Asia,China,Fruits,Online,L,04-09-2012,784366078,11-09-2012,2250,9.33,6.92,20992.5,15570,5422.5
Australia and Oceania,Australia,Baby Food,Offline,L,09-04-2013,288569203,19-04-2013,2511,255.28,159.42,641008.08,400303.62,240704.46
Europe,Germany,Household,Online,L,12-03-2011,532096811,18-03-2011,8675,668.27,502.54,5797242.25,4359534.5,1437707.75
Europe,Spain,Personal Care,Offline,L,10-04-2015,730253310,14-04-2015,5421,81.73,56.67,443058.33,307208.07,135850.26
Africa,Kenya,Household,Offline,C,10-03-2013,885340429,12-03-2013,9224,668.27,502.54,6164122.48,4635428.96,1528693.52
Asia,China,Cereal,Offline,H,24-01-2016,984709269,03-02-2016,5609,205.7,117.11,1153771.3,656869.99,496901.31
North America,Canada,Fruits,Offline,H,16-06-2016,344312687,20-06-2016,7882,9.33,6.92,73539.06,54543.44,18995.62
North America,United States,Household,Offline,M,20-04-2015,510819608,27-04-2015,373,668.27,502.54,249264.71,187447.42,61817.29
Asia,Japan,Household,Online,L,12-04-2012,794500587,13-04-2012,8658,668.27,502.54,5785881.66,4350991.32,1434890.34
North America,Mexico,Cereal,Offline,H,09-08-2017,466268681,11-08-2017,2965,205.7,117.11,609900.5,347231.15,262669.35
North America,United States,Office Supplies,Offline,M,11-03-2017,104244407,16-03-2017,9520,651.21,524.96,6199519.2,4997619.2,1201900
Asia,Japan,Baby Food,Offline,H,01-08-2017,846035997,11-08-2017,6628,255.28,159.42,1691995.84,1056635.76,635360.08
South America,Chile,Personal Care,Offline,H,27-02-2012,596097040,03-03-2012,5614,81.73,56.67,458832.22,318145.38,140686.84
South America,Brazil,Vegetables,Online,L,10-05-2016,268826885,12-05-2016,4393,154.06,90.93,676785.58,399455.49,277330.09
North America,United States,Cosmetics,Online,H,27-12-2014,151290561,30-12-2014,4996,437.2,263.33,2184251.2,1315596.68,868654.52
North America,Canada,Fruits,Online,M,11-07-2010,249588768,16-07-2010,6859,9.33,6.92,63994.47,47464.28,16530.19
Australia and Oceania,New Zealand,Fruits,Offline,C,09-08-2012,153774300,12-08-2012,7833,9.33,6.92,73081.89,54204.36,18877.53
Asia,India,Beverages,Offline,L,06-05-2013,176296516,16-05-2013,6482,47.45,31.79,307570.9,206062.78,101508.12
Europe,Spain,Fruits,Online,H,18-06-2012,624870937,21-06-2012,4735,9.33,6.92,44177.55,32766.2,11411.35
Europe,France,Cosmetics,Online,L,22-06-2010,545832612,27-06-2010,5523,437.2,263.33,2414655.6,1454371.59,960284.01
South America,Chile,Cosmetics,Online,H,11-04-2015,847471197,21-04-2015,1146,437.2,263.33,501031.2,301776.18,199255.02
Asia,India,Snacks,Offline,L,31-08-2011,431142406,02-09-2011,2503,152.58,97.44,381907.74,243892.32,138015.42
South America,Argentina,Beverages,Online,H,21-03-2017,901550202,27-03-2017,9273,47.45,31.79,440003.85,294788.67,145215.18
Europe,Spain,Cereal,Online,M,20-07-2012,860970363,27-07-2012,8364,205.7,117.11,1720474.8,979508.04,740966.76
Australia and Oceania,Australia,Beverages,Online,L,30-08-2013,994400932,06-09-2013,1050,47.45,31.79,49822.5,33379.5,16443
South America,Chile,Baby Food,Online,C,30-08-2016,410198697,05-09-2016,8959,255.28,159.42,2287053.52,1428243.78,858809.74
South America,Chile,Vegetables,Online,H,31-08-2015,905359583,06-09-2015,2115,154.06,90.93,325836.9,192316.95,133519.95
Europe,Germany,Clothes,Online,C,16-02-2012,296099274,24-02-2012,9663,109.28,35.84,1055972.64,346321.92,709650.72
Asia,Singapore,Beverages,Online,C,04-07-2017,445767033,14-07-2017,6397,47.45,31.79,303537.65,203360.63,100177.02
Europe,Germany,Snacks,Online,L,22-02-2016,263368359,27-02-2016,7062,152.58,97.44,1077519.96,688121.28,389398.68
Asia,India,Household,Online,C,29-06-2014,117958077,02-07-2014,5625,668.27,502.54,3759018.75,2826787.5,932231.25
North America,United States,Vegetables,Offline,H,20-11-2013,953529868,27-11-2013,9007,154.06,90.93,1387618.42,819006.51,568611.91
Asia,Singapore,Snacks,Offline,H,04-01-2011,866554142,07-01-2011,7409,152.58,97.44,1130465.22,721932.96,408532.26
South America,Argentina,Fruits,Offline,L,18-01-2016,750835078,26-01-2016,9223,9.33,6.92,86050.59,63823.16,22227.43
Australia and Oceania,New Zealand,Cosmetics,Online,C,14-10-2011,589735148,17-10-2011,3147,437.2,263.33,1375868.4,828699.51,547168.89
Australia and Oceania,Australia,Fruits,Offline,M,29-12-2010,222479819,31-12-2010,5117,9.33,6.92,47741.61,35409.64,12331.97
North America,United States,Snacks,Online,H,12-03-2016,103560883,13-03-2016,2544,152.58,97.44,388163.52,247887.36,140276.16
Africa,Libya,Personal Care,Offline,C,22-09-2016,358059529,01-10-2016,1184,81.73,56.67,96768.32,67097.28,29671.04
Asia,Singapore,Clothes,Offline,L,10-03-2016,847199764,12-03-2016,5713,109.28,35.84,624316.64,204753.92,419562.72
Africa,Kenya,Household,Online,L,23-02-2010,123028264,26-02-2010,793,668.27,502.54,529938.11,398514.22,131423.89
North America,United States,Cereal,Online,C,27-08-2016,977879891,05-09-2016,7300,205.7,117.11,1501610,854903,646707
South America,Brazil,Vegetables,Offline,C,05-04-2014,729322332,10-04-2014,3894,154.06,90.93,599909.64,354081.42,245828.22
Africa,Libya,Clothes,Offline,L,24-04-2015,835872982,03-05-2015,4531,109.28,35.84,495147.68,162391.04,332756.64
South America,Brazil,Beverages,Online,L,26-03-2017,513879889,28-03-2017,7291,47.45,31.79,345957.95,231780.89,114177.06
North America,Mexico,Fruits,Online,L,08-03-2014,917644122,14-03-2014,6693,9.33,6.92,62445.69,46315.56,16130.13
Europe,Spain,Cereal,Online,L,04-10-2016,954453434,13-10-2016,8767,205.7,117.11,1803371.9,1026703.37,776668.53
Australia and Oceania,Fiji,Cereal,Offline,M,20-11-2013,683838056,29-11-2013,7366,205.7,117.11,1515186.2,862632.26,652553.94
Europe,Italy,Beverages,Offline,M,04-08-2010,446436431,08-08-2010,2295,47.45,31.79,108897.75,72958.05,35939.7
Asia,Singapore,Fruits,Offline,M,12-12-2014,602144286,18-12-2014,2367,9.33,6.92,22084.11,16379.64,5704.47
Africa,Nigeria,Clothes,Online,C,26-10-2013,801946828,27-10-2013,429,109.28,35.84,46881.12,15375.36,31505.76
Africa,Kenya,Vegetables,Online,L,28-07-2014,430521946,03-08-2014,2128,154.06,90.93,327839.68,193499.04,134340.64
North America,United States,Vegetables,Online,C,02-01-2011,827484742,10-01-2011,5671,154.06,90.93,873674.26,515664.03,358010.23
Asia,Japan,Snacks,Offline,H,03-05-2015,793461024,09-05-2015,390,152.58,97.44,59506.2,38001.6,21504.6
Europe,France,Personal Care,Online,L,13-11-2013,194374071,21-11-2013,2692,81.73,56.67,220017.16,152555.64,67461.52
Australia and Oceania,New Zealand,Office Supplies,Online,L,20-11-2014,487981189,26-11-2014,5383,651.21,524.96,3505463.43,2825859.68,679603.75
Australia and Oceania,Australia,Beverages,Offline,L,13-01-2014,215870489,16-01-2014,3055,47.45,31.79,144959.75,97118.45,47841.3
Australia and Oceania,Fiji,Office Supplies,Offline,H,06-11-2010,169816471,15-11-2010,3005,651.21,524.96,1956886.05,1577504.8,379381.25
Africa,Libya,Household,Offline,H,04-11-2017,933356097,08-11-2017,7323,668.27,502.54,4893741.21,3680100.42,1213640.79
Asia,India,Fruits,Online,M,28-08-2011,645143917,31-08-2011,7540,9.33,6.92,70348.2,52176.8,18171.4
Asia,Singapore,Snacks,Offline,M,23-01-2013,296553120,30-01-2013,2971,152.58,97.44,453315.18,289494.24,163820.94
Africa,Kenya,Snacks,Online,M,07-11-2014,111252514,13-11-2014,9299,152.58,97.44,1418841.42,906094.56,512746.86
North America,Mexico,Household,Online,H,05-02-2017,400645882,10-02-2017,6339,668.27,502.54,4236163.53,3185601.06,1050562.47
South America,Brazil,Cosmetics,Online,M,13-07-2013,184197623,18-07-2013,1599,437.2,263.33,699082.8,421064.67,278018.13
South America,Brazil,Personal Care,Online,H,09-05-2016,382732471,12-05-2016,273,81.73,56.67,22312.29,15470.91,6841.38
Asia,India,Cereal,Offline,C,09-09-2017,842689610,12-09-2017,7283,205.7,117.11,1498113.1,852912.13,645200.97
Asia,Singapore,Cosmetics,Offline,C,06-03-2013,243884943,14-03-2013,5527,437.2,263.33,2416404.4,1455424.91,960979.49
North America,Mexico,Personal Care,Offline,C,29-03-2015,423998419,06-04-2015,6956,81.73,56.67,568513.88,394196.52,174317.36
South America,Chile,Personal Care,Offline,C,12-11-2013,454001486,15-11-2013,8514,81.73,56.67,695849.22,482488.38,213360.84
Australia and Oceania,Australia,Beverages,Offline,H,12-02-2010,874093745,19-02-2010,6802,47.45,31.79,322754.9,216235.58,106519.32
Asia,Japan,Office Supplies,Online,L,18-12-2013,902047455,28-12-2013,6038,651.21,524.96,3932005.98,3169708.48,762297.5
Asia,Singapore,Office Supplies,Offline,L,16-04-2010,177755937,18-04-2010,5956,651.21,524.96,3878606.76,3126661.76,751945
South America,Chile,Cosmetics,Online,C,18-08-2012,857744275,25-08-2012,115,437.2,263.33,50278,30282.95,19995.05
South America,Brazil,Fruits,Online,C,24-06-2010,404112385,04-07-2010,1670,9.33,6.92,15581.1,11556.4,4024.7
North America,United States,Personal Care,Online,C,07-06-2014,840419393,15-06-2014,2095,81.73,56.67,171224.35,118723.65,52500.7
North America,Mexico,Baby Food,Offline,H,15-09-2013,567304336,25-09-2013,7922,255.28,159.42,2022328.16,1262925.24,759402.92
Africa,Libya,Cereal,Offline,C,01-08-2015,527994426,02-08-2015,3022,205.7,117.11,621625.4,353906.42,267718.98
Australia and Oceania,Australia,Cosmetics,Offline,C,16-10-2012,249595035,22-10-2012,2502,437.2,263.33,1093874.4,658851.66,435022.74
Australia and Oceania,Australia,Beverages,Offline,C,16-10-2013,371929150,26-10-2013,1427,47.45,31.79,67711.15,45364.33,22346.82
North America,Mexico,Cosmetics,Offline,C,22-05-2014,278506467,01-06-2014,6371,437.2,263.33,2785401.2,1677675.43,1107725.77
Australia and Oceania,Australia,Office Supplies,Online,C,09-06-2017,238746248,13-06-2017,5653,651.21,524.96,3681290.13,2967598.88,713691.25
Australia and Oceania,Australia,Clothes,Offline,L,13-03-2013,854101129,21-03-2013,4478,109.28,35.84,489355.84,160491.52,328864.32
North America,Mexico,Household,Online,M,27-01-2011,418556849,03-02-2011,490,668.27,502.54,327452.3,246244.6,81207.7
Asia,Japan,Snacks,Online,M,20-01-2014,924231371,30-01-2014,5834,152.58,97.44,890151.72,568464.96,321686.76
South America,Chile,Vegetables,Online,C,21-07-2015,297874200,24-07-2015,9934,154.06,90.93,1530432.04,903298.62,627133.42
Australia and Oceania,New Zealand,Personal Care,Online,M,14-06-2014,463248670,15-06-2014,2690,81.73,56.67,219853.7,152442.3,67411.4
Australia and Oceania,Australia,Vegetables,Offline,C,25-12-2013,706954350,27-12-2013,3405,154.06,90.93,524574.3,309616.65,214957.65
Australia and Oceania,New Zealand,Beverages,Offline,H,14-02-2011,454344759,23-02-2011,9400,47.45,31.79,446030,298826,147204
Asia,India,Office Supplies,Online,L,20-02-2017,623533016,22-02-2017,5104,651.21,524.96,3323775.84,2679395.84,644380
North America,United States,Fruits,Online,M,09-11-2012,797775447,13-11-2012,3825,9.33,6.92,35687.25,26469,9218.25
Asia,China,Cereal,Online,M,28-10-2013,480028106,05-11-2013,7067,205.7,117.11,1453681.9,827616.37,626065.53
Africa,Egypt,Office Supplies,Offline,H,28-10-2010,144393328,06-11-2010,4525,651.21,524.96,2946725.25,2375444,571281.25
Africa,Nigeria,Clothes,Online,H,12-08-2016,221099446,15-08-2016,5140,109.28,35.84,561699.2,184217.6,377481.6
South America,Argentina,Household,Online,C,01-01-2017,840053281,03-01-2017,6659,668.27,502.54,4450009.93,3346413.86,1103596.07
Africa,Nigeria,Baby Food,Online,M,16-09-2016,632607969,21-09-2016,6463,255.28,159.42,1649874.64,1030331.46,619543.18
Africa,Libya,Beverages,Online,H,04-03-2010,293131255,12-03-2010,6207,47.45,31.79,294522.15,197320.53,97201.62
Asia,Singapore,Office Supplies,Offline,C,04-11-2012,941391556,05-11-2012,7378,651.21,524.96,4804627.38,3873154.88,931472.5
North America,Mexico,Personal Care,Offline,C,24-01-2013,495474125,02-02-2013,720,81.73,56.67,58845.6,40802.4,18043.2
South America,Argentina,Vegetables,Online,H,05-08-2012,656942282,10-08-2012,8433,154.06,90.93,1299187.98,766812.69,532375.29
North America,United States,Beverages,Offline,C,20-10-2016,701069214,28-10-2016,8864,47.45,31.79,420596.8,281786.56,138810.24
South America,Argentina,Snacks,Offline,C,05-11-2013,388574289,10-11-2013,3989,152.58,97.44,608641.62,388688.16,219953.46
North America,Canada,Personal Care,Offline,L,22-02-2016,384080136,27-02-2016,8588,81.73,56.67,701897.24,486681.96,215215.28
North America,Mexico,Office Supplies,Offline,L,11-05-2014,593741764,19-05-2014,677,651.21,524.96,440869.17,355397.92,85471.25
Australia and Oceania,Australia,Office Supplies,Online,L,24-05-2014,812203422,26-05-2014,4727,651.21,524.96,3078269.67,2481485.92,596783.75
Asia,India,Snacks,Offline,C,25-08-2011,340279097,29-08-2011,6409,152.58,97.44,977885.22,624492.96,353392.26
Asia,Japan,Clothes,Online,M,17-06-2013,496394706,26-06-2013,4322,109.28,35.84,472308.16,154900.48,317407.68
Europe,Italy,Snacks,Offline,M,21-10-2015,689528311,28-10-2015,7729,152.58,97.44,1179290.82,753113.76,426177.06
